Sexe;Age;Statut;Occupation;Qualification;Etudie;NombreFS;NombreE;Jardinage;Cuisine;Sport;MinutesTV;LectureBD;MinutesL;EcouteRP;JournalIntime;Taille
F;35;Marie;Exerce profession;Employe de bureau;Non;2;3;Non;Non;Oui;42,86;Non;0;Non;Oui;Pas assez
F;50;Marie;Autre inactif;Employe de bureau;Non;1;0;Non;Oui;Non;240;Non;0;Non;Non;Comme il faut
F;64;Marie;Autre inactif;Employe de bureau;Non;4;3;Oui;Non;Non;180;Non;60;Non;Non;Comme il faut
F;65;Marie;Retraite;Cadre;Non;4;2;Non;Oui;Oui;180;Non;0;Non;Oui;Comme il faut
H;53;Marie;Exerce profession;Ouvrier qualifie;Non;5;3;Oui;Non;Non;240;Non;0;Non;Non;Comme il faut
H;48;Marie;Exerce profession;Profession intermediaire;Non;2;3;Oui;Oui;Non;120;Non;0;Non;Non;Comme il faut
F;38;Divorce;Exerce profession;Employe de bureau;Non;2;2;Oui;Non;Oui;60;Non;0;Oui;Oui;Comme il faut
H;40;Celibataire;Exerce profession;Non concerne;Non;1;0;Non;Non;Non;0;Non;0;Non;Non;Comme il faut
H;36;Celibataire;Exerce profession;Cadre;Non;2;0;Non;Oui;Oui;0;Non;0;Non;Non;Comme il faut
F;72;Veuf;Retraite;Non concerne;Non;1;2;Non;Non;Non;0;Non;0;Non;Non;Comme il faut
F;50;Divorce;Autre inactif;Non concerne;Non;5;3;Non;Oui;Non;0;Non;0;Non;Oui;Pas assez
F;45;Marie;Autre inactif;Employe de bureau;Non;3;2;Oui;Oui;Non;180;Non;0;Non;Non;Pas assez
F;30;Divorce;Autre inactif;Non concerne;Non;6;2;Non;Non;Oui;0;Non;0;Non;Oui;Pas assez
H;58;Divorce;Retraite;Ouvrier qualifie;Non;1;2;Non;Oui;Non;180;Non;0;Non;Non;Comme il faut
H;35;Divorce;Chomeur;Ouvrier qualifie;Non;2;1;Non;Oui;Non;120;Non;0;Non;Non;Comme il faut
F;54;Veuf;Autre inactif;Ouvrier specialise;Non;5;2;Non;Non;Non;120;Non;240;Non;Non;Pas assez
F;32;Marie;Autre inactif;Non concerne;Non;7;4;Non;Oui;Non;240;Non;180;Non;Non;Comme il faut
H;51;Marie;Retraite;Ouvrier specialise;Non;4;6;Oui;Non;Non;0;Non;0;Non;Non;Comme il faut
F;56;Marie;Autre inactif;Non concerne;Non;4;3;Oui;Oui;Non;180;Non;60;Non;Non;Comme il faut
F;21;Marie;Autre inactif;Non concerne;Non;0;1;Non;Oui;Non;420;Non;0;Non;Non;Comme il faut
F;51;Marie;Autre inactif;Employe de bureau;Non;2;3;Oui;Oui;Non;180;Non;0;Non;Non;Comme il faut
F;58;Celibataire;Exerce profession;Employe de bureau;Non;4;0;Non;Non;Non;120;Non;0;Non;Oui;Pas assez
H;72;Marie;Retraite;Autre;Non;2;4;Oui;Non;Oui;180;Non;0;Non;Non;Pas assez
H;67;Marie;Retraite;Ouvrier qualifie;Non;2;2;Oui;Non;Non;0;Non;0;Non;Non;Comme il faut
F;60;Veuf;Retraite;Employe de bureau;Non;6;9;Non;Oui;Non;240;Non;0;Non;Non;Comme il faut
F;64;Marie;Autre inactif;Employe de bureau;Non;4;6;Non;Non;Non;60;Non;0;Non;Non;Comme il faut
H;52;Marie;Retraite;Profession intermediaire;Non;5;3;Oui;Non;Oui;0;Non;0;Non;Oui;Comme il faut
H;49;Marie;Retraite;Ouvrier qualifie;Non;1;2;Non;Non;Non;0;Non;0;Non;Non;Comme il faut
H;48;Marie;Retraite;Ouvrier specialise;Non;5;6;Oui;Non;Non;0;Non;0;Non;Non;Comme il faut
F;35;Divorce;Autre inactif;Ouvrier specialise;Non;4;3;Oui;Oui;Oui;120;Non;0;Non;Non;Comme il faut
F;21;Celibataire;Etudiant;Non concerne;formation initiale;1;0;Non;Non;Non;60;Non;0;Oui;Oui;Comme il faut
H;49;Celibataire;Exerce profession;Technicien;Non;3;0;Non;Oui;Non;120;Non;0;Non;Non;Refus
F;48;Marie;Exerce profession;Ouvrier specialise;Non;9;2;Non;Oui;Non;60;Non;0;Non;Non;Comme il faut
H;73;Marie;Retraite;Cadre;Non;4;1;Oui;Oui;Oui;120;Non;0;Non;Non;Comme il faut
H;43;Marie;Exerce profession;Profession intermediaire;Non;1;2;Oui;Oui;Oui;60;Non;0;Non;Oui;Comme il faut
H;61;Marie;Exerce profession;Autre;Non;7;2;Non;Non;Non;0;Non;180;Non;Non;Comme il faut
F;69;Marie;Retraite;Employe de bureau;Non;4;4;Non;Non;Non;180;Non;0;Non;Non;Comme il faut
H;44;Marie;Exerce profession;Profession intermediaire;Non;1;2;Oui;Oui;Oui;300;Non;0;Non;Non;Comme il faut
F;73;Veuf;Autre inactif;Autre;Non;3;3;Oui;Oui;Non;0;Non;0;Non;Oui;Comme il faut
F;55;Divorce;Autre inactif;Employe de bureau;Non;2;4;Non;Non;Non;420;Non;0;Non;Non;Comme il faut
H;41;Marie;Exerce profession;Ouvrier qualifie;Non;4;1;Non;Non;Non;60;Non;0;Non;Non;Comme il faut
H;42;Marie;Exerce profession;Ouvrier qualifie;Non;4;3;Non;Oui;Non;240;Non;0;Non;Non;Comme il faut
F;20;Celibataire;Exerce profession;Employe de bureau;Non;1;1;Non;Non;Non;360;Non;0;Non;Non;Comme il faut
F;42;Marie;Autre inactif;Ouvrier qualifie;Non;0;2;Non;Oui;Oui;180;Non;0;Non;Non;Comme il faut
F;53;Celibataire;Exerce profession;Ouvrier qualifie;Non;1;0;Oui;Oui;Non;300;Non;0;Non;Non;Comme il faut
F;29;Celibataire;Exerce profession;Employe de bureau;Non;3;1;Non;Non;Oui;180;Non;0;Non;Oui;Trop
F;29;Celibataire;Exerce profession;Ouvrier specialise;Non;3;0;Oui;Oui;Oui;0;Non;0;Non;Non;Pas assez
F;24;Marie;Exerce profession;Employe de bureau;Non;2;1;Non;Non;Non;60;Non;0;Non;Non;Pas assez
F;46;Marie;Autre inactif;Non concerne;Non;4;5;Non;Oui;Non;180;Non;0;Non;Non;Pas assez
H;30;Celibataire;Chomeur;Ouvrier qualifie;Non;10;1;Non;Non;Oui;60;Non;0;Non;Non;Pas assez
F;43;Marie;Autre inactif;Ouvrier specialise;Non;1;2;Non;Non;Oui;240;Non;0;Non;Non;Comme il faut
H;55;Marie;Retraite;Ouvrier qualifie;Non;3;1;Oui;Oui;Oui;240;Non;0;Non;Non;Pas assez
H;61;Marie;Retraite;Ouvrier specialise;Non;6;1;Oui;Non;Non;300;Non;0;Non;Non;Pas assez
H;66;Marie;Retraite;Profession intermediaire;Non;6;4;Non;Non;Non;120;Non;0;Non;Non;Comme il faut
F;71;Marie;Autre inactif;Employe de bureau;Non;2;2;Oui;Oui;Non;180;Non;0;Non;Non;Pas assez
H;38;Marie;Chomeur;Non concerne;Non;5;2;Non;Oui;Non;180;Non;0;Non;Non;Pas assez
H;27;Marie;Exerce profession;Ouvrier specialise;Non;3;1;Non;Oui;Non;300;Non;0;Non;Non;Comme il faut
H;21;Celibataire;Exerce profession;Ouvrier specialise;Non;1;0;Oui;Oui;Oui;17,14;Non;0;Non;Non;Pas assez
F;43;Divorce;Chomeur;Employe de bureau;Non;4;2;Oui;Oui;Non;180;Non;0;Oui;Non;Comme il faut
F;61;Marie;Autre inactif;Ouvrier qualifie;Non;2;1;Oui;Non;Non;300;Non;0;Non;Non;Comme il faut
F;56;Veuf;Autre inactif;Ouvrier specialise;Non;2;2;Oui;Oui;Non;240;Non;0;Non;Non;Pas assez
H;59;Marie;Retraite;Profession intermediaire;Non;3;1;Oui;Non;Oui;300;Non;0;Non;Non;Comme il faut
H;39;Marie;Exerce profession;Ouvrier qualifie;Non;5;1;Oui;Oui;Oui;20;Non;0;Non;Non;Comme il faut
H;49;Marie;Exerce profession;Ouvrier qualifie;Non;5;1;Oui;Non;Oui;120;Non;0;Non;Non;Pas assez
F;31;Marie;Autre inactif;Non concerne;Non;3;2;Oui;Oui;Non;0;Non;0;Non;Oui;Trop
F;41;Marie;Exerce profession;Employe de bureau;Non;2;2;Non;Non;Non;0;Non;0;Non;Non;Comme il faut
F;51;Marie;Exerce profession;Employe de bureau;Non;7;2;Oui;Oui;Non;180;Non;0;Non;Non;Comme il faut
F;70;Marie;Retraite;Non concerne;Non;4;6;Non;Non;Non;68,57;Non;0;Non;Non;Comme il faut
H;43;Marie;Exerce profession;Ouvrier specialise;Non;2;2;Non;Non;Non;120;Non;0;Non;Non;Comme il faut
F;47;Marie;Exerce profession;Employe de bureau;Non;4;2;Oui;Non;Oui;0;Non;0;Non;Non;Pas assez
F;40;Marie;Exerce profession;Employe de bureau;Non;1;2;Oui;Non;Non;42,86;Non;42,86;Non;Non;Comme il faut
H;40;Marie;Exerce profession;Technicien;Non;2;2;Oui;Oui;Oui;120;Non;0;Non;Non;Comme il faut
F;37;Marie;Exerce profession;Employe de bureau;Non;7;3;Oui;Oui;Non;180;Non;0;Non;Non;Pas assez
F;66;Veuf;Exerce profession;Employe de bureau;Non;2;3;Non;Non;Non;360;Non;0;Non;Non;Pas assez
H;30;Celibataire;Exerce profession;Ouvrier qualifie;Non;6;2;Non;Non;Non;180;Non;0;Non;Non;Comme il faut
H;79;Marie;Retraite;Ouvrier qualifie;Non;8;4;Oui;Non;Non;720;Non;0;Non;Non;Comme il faut
H;33;Marie;Exerce profession;Ouvrier qualifie;Non;1;1;Non;Non;Non;240;Non;0;Non;Non;Comme il faut
H;39;Marie;Exerce profession;Technicien;Non;7;1;Non;Oui;Oui;60;Non;0;Non;Non;Comme il faut
H;53;Marie;Exerce profession;Ouvrier qualifie;Non;2;4;Oui;Non;Non;120;Non;0;Non;Non;Pas assez
H;72;Marie;Retraite;Technicien;Non;3;2;Oui;Non;Non;360;Oui;120;Non;Non;Comme il faut
F;50;Marie;Autre inactif;Employe de bureau;Non;3;3;Non;Non;Non;360;Non;0;Oui;Non;Pas assez
F;59;Marie;Autre inactif;Non concerne;Non;2;3;Oui;Oui;Non;60;Non;60;Non;Oui;Comme il faut
H;22;Celibataire;Chomeur;Ouvrier specialise;Non;1;0;Non;Non;Oui;240;Non;0;Non;Non;Comme il faut
H;40;Marie;Exerce profession;Cadre;Non;5;3;Oui;Oui;Oui;85,71;Non;0;Non;Non;Comme il faut
H;82;Veuf;Au foyer;Non concerne;Non;3;2;Oui;Non;Non;120;Non;0;Non;Non;Comme il faut
H;61;Divorce;Retraite;Cadre;formation initiale;3;3;Oui;Oui;Oui;128,57;Non;0;Non;Oui;Comme il faut
F;65;Veuf;Retraite;Employe de bureau;Non;1;4;Non;Non;Non;720;Non;0;Non;Non;Comme il faut
H;68;Celibataire;Au foyer;Non concerne;Non;1;0;Non;Non;Non;120;Non;60;Non;Non;Comme il faut
H;27;Celibataire;Exerce profession;Ouvrier qualifie;Non;2;0;Oui;Non;Non;180;Non;0;Non;Non;Comme il faut
F;31;Marie;Exerce profession;Employe de bureau;Non;1;0;Non;Non;Oui;60;Non;0;Non;Oui;Comme il faut
F;52;Marie;Exerce profession;Employe de bureau;Non;3;2;Oui;Oui;Oui;180;Non;120;Non;Non;Pas assez
F;51;Celibataire;Exerce profession;Employe de bureau;Non;3;0;Non;Non;Non;120;Non;0;Non;Non;Comme il faut
H;43;Marie;Exerce profession;Technicien;Non;3;4;Non;Non;Non;180;Non;0;Non;Non;Comme il faut
F;43;Marie;Chomeur;Employe de bureau;Non;0;3;Oui;Oui;Non;0;Non;60;Non;Oui;Comme il faut
F;83;Veuf;Retraite;Employe de bureau;Non;4;5;Oui;Non;Non;240;Non;0;Non;Non;Comme il faut
F;38;Celibataire;Chomeur;Employe de bureau;Non;1;2;Non;Non;Oui;0;Non;0;Non;Oui;Comme il faut
F;43;Marie;Exerce profession;Non concerne;Non;0;3;Oui;Oui;Non;120;Non;0;Non;Oui;Pas assez
H;58;Marie;Exerce profession;Autre;Non;7;2;Oui;Non;Non;120;Non;0;Non;Oui;Pas assez
F;52;Marie;Exerce profession;Employe de bureau;Non;9;2;Oui;Oui;Non;60;Non;0;Non;Non;Pas assez
F;80;Veuf;Autre inactif;Profession intermediaire;Non;6;7;Non;Non;Non;120;Non;60;Non;Non;Refus
F;68;Marie;Retraite;Non concerne;Non;3;3;Non;Non;Oui;60;Non;0;Non;Non;Refus
H;36;Marie;Exerce profession;Employe de bureau;Non;1;2;Non;Non;Non;120;Non;0;Non;Non;Comme il faut
H;58;Marie;Exerce profession;Autre;Non;2;3;Non;Non;Non;240;Non;0;Non;Non;Comme il faut
H;26;Celibataire;Etudiant;Non concerne;formation initiale;1;0;Non;Non;Non;120;Non;0;Non;Non;Comme il faut
H;51;Celibataire;Autre inactif;Non concerne;Non;4;0;Non;Non;Non;480;Non;0;Non;Non;Comme il faut
F;74;Veuf;Retraite;Employe de bureau;Non;0;2;Non;Oui;Non;300;Non;0;Non;Non;Pas assez
H;60;Divorce;Exerce profession;Ouvrier qualifie;Non;3;1;Non;Non;Non;0;Non;0;Non;Non;Comme il faut
F;31;Marie;Exerce profession;Ouvrier specialise;Non;4;2;Non;Non;Non;0;Non;120;Non;Oui;Pas assez
F;57;Marie;Autre inactif;Ouvrier specialise;Non;9;4;Oui;Oui;Non;0;Non;0;Non;Non;Pas assez
F;28;Celibataire;Chomeur;Ouvrier qualifie;Non;3;1;Oui;Oui;Non;180;Non;0;Non;Non;Comme il faut
H;48;Marie;Exerce profession;Non concerne;Non;2;2;Non;Non;Oui;0;Non;0;Non;Non;Comme il faut
H;37;Marie;Exerce profession;Ouvrier qualifie;Non;2;2;Oui;Oui;Non;120;Non;0;Non;Non;Comme il faut
H;63;Marie;Au foyer;Non concerne;Non;13;4;Non;Non;Non;0;Non;0;Non;Non;Pas assez
F;39;Marie;Exerce profession;Technicien;Non;7;2;Oui;Non;Oui;120;Non;0;Non;Oui;Comme il faut
H;50;Marie;Exerce profession;Employe de bureau;Non;10;3;Oui;Non;Non;240;Non;0;Non;Oui;Comme il faut
H;18;Celibataire;Exerce profession;Ouvrier specialise;Non;1;0;Non;Non;Non;300;Non;0;Non;Non;Comme il faut
F;57;Marie;Autre inactif;Non concerne;Non;5;2;Non;Non;Non;240;Non;0;Non;Oui;Pas assez
F;66;Marie;Retraite;Employe de bureau;Non;0;2;Non;Oui;Oui;0;Non;0;Non;Non;Pas assez
F;61;Marie;Retraite;Employe de bureau;Non;4;2;Oui;Oui;Non;120;Non;0;Non;Non;Comme il faut
F;57;Veuf;Exerce profession;Employe de bureau;Non;10;4;Non;Non;Non;240;Non;0;Non;Non;Pas assez
F;58;Divorce;Exerce profession;Employe de bureau;Non;2;1;Oui;Non;Oui;180;Non;0;Non;Non;Pas assez
F;46;Marie;Exerce profession;Ouvrier specialise;Non;5;1;Non;Non;Non;240;Non;0;Non;Non;Comme il faut
F;47;Divorce;Exerce profession;Ouvrier qualifie;Non;2;2;Oui;Oui;Oui;0;Non;0;Non;Non;Comme il faut
F;27;Celibataire;Exerce profession;Employe de bureau;Non;2;0;Oui;Oui;Oui;0;Non;0;Non;Non;Comme il faut
H;48;Marie;Exerce profession;Ouvrier qualifie;Non;5;5;Non;Non;Non;0;Non;0;Non;Non;Comme il faut
H;61;Marie;Retraite;Ouvrier qualifie;Non;4;4;Oui;Non;Non;120;Non;0;Non;Non;Comme il faut
H;35;Celibataire;Exerce profession;Ouvrier qualifie;Non;3;3;Non;Non;Non;60;Non;0;Non;Non;Pas assez
F;53;Marie;Exerce profession;Employe de bureau;Non;5;3;Oui;Oui;Non;360;Non;0;Non;Non;Pas assez
F;57;Marie;Exerce profession;Employe de bureau;Non;7;3;Oui;Oui;Non;120;Non;0;Non;Non;Pas assez
F;37;Marie;Autre inactif;Employe de bureau;Non;9;2;Oui;Oui;Non;120;Non;0;Non;Non;Pas assez
F;72;Veuf;Autre inactif;Ouvrier qualifie;Non;2;2;Oui;Non;Non;240;Non;0;Non;Non;Pas assez
H;71;Marie;Retraite;Ouvrier qualifie;Non;5;2;Oui;Non;Non;300;Non;0;Non;Non;Comme il faut
H;27;Marie;Exerce profession;Ouvrier specialise;Non;4;2;Non;Non;Non;120;Non;0;Non;Non;Comme il faut
F;68;Veuf;Autre inactif;Non concerne;Non;5;2;Non;Non;Non;0;Non;0;Non;Non;Comme il faut
H;80;Veuf;Retraite;Ouvrier qualifie;Non;3;3;Oui;Non;Non;0;Non;0;Non;Non;Comme il faut
H;32;Marie;Exerce profession;Ouvrier qualifie;Non;3;4;Non;Non;Non;0;Non;0;Non;Non;Comme il faut
H;45;Marie;Exerce profession;Technicien;Non;5;5;Non;Non;Non;0;Non;0;Non;Non;Comme il faut
F;25;Marie;Autre inactif;Ouvrier specialise;Non;5;2;Non;Non;Non;0;Non;0;Non;Non;Comme il faut
H;30;Celibataire;Exerce profession;Ouvrier qualifie;Non;2;0;Non;Non;Non;120;Non;0;Non;Non;Comme il faut
F;64;Veuf;Retraite;Ouvrier specialise;Non;9;0;Non;Non;Non;180;Non;0;Non;Non;Comme il faut
F;45;Marie;Exerce profession;Employe de bureau;Non;13;2;Non;Non;Non;120;Non;0;Non;Non;Comme il faut
H;40;Marie;Exerce profession;Cadre;Non;2;1;Oui;Non;Oui;180;Non;0;Non;Non;Comme il faut
H;57;Marie;Chomeur;Technicien;Non;9;2;Oui;Oui;Non;240;Non;0;Non;Non;Comme il faut
H;46;Marie;Exerce profession;Ouvrier qualifie;Non;2;2;Non;Oui;Non;180;Non;0;Non;Non;Comme il faut
H;79;Marie;Retraite;Ouvrier qualifie;Non;5;3;Non;Non;Non;180;Non;0;Non;Non;Comme il faut
F;77;Veuf;Autre inactif;Employe de bureau;Non;3;3;Non;Oui;Non;120;Non;0;Non;Non;Pas assez
H;32;Marie;Exerce profession;Employe de bureau;Non;1;4;Non;Oui;Non;300;Non;0;Non;Non;Comme il faut
H;42;Marie;Exerce profession;Employe de bureau;Non;3;1;Oui;Non;Non;60;Non;0;Non;Non;Comme il faut
H;49;Marie;Autre inactif;Ouvrier specialise;Non;3;3;Non;Non;Non;420;Non;0;Non;Non;Comme il faut
H;58;Marie;Retraite;Profession intermediaire;Non;0;1;Oui;Oui;Non;360;Non;0;Non;Non;Comme il faut
H;60;Marie;Au foyer;Ouvrier specialise;Non;5;6;Non;Non;Non;480;Non;0;Non;Non;Comme il faut
F;19;Celibataire;Chomeur;Employe de bureau;Non;1;0;Non;Oui;Oui;300;Non;0;Non;Oui;Comme il faut
F;22;Celibataire;Exerce profession;Employe de bureau;Reprise de formation;7;0;Non;Non;Non;120;Non;60;Non;Oui;Comme il faut
F;45;Marie;Exerce profession;Employe de bureau;Non;3;1;Non;Non;Oui;60;Non;0;Non;Non;Comme il faut
F;32;Celibataire;Exerce profession;Autre;Non;0;0;Non;Oui;Oui;0;Non;0;Oui;Non;Comme il faut
H;19;Celibataire;Etudiant;Non concerne;formation initiale;1;0;Non;Non;Non;0;Non;0;Non;Non;Comme il faut
F;50;Veuf;Exerce profession;Employe de bureau;Non;7;1;Non;Non;Non;0;Non;0;Non;Non;Comme il faut
H;31;Marie;Exerce profession;Cadre;Non;2;3;Non;Non;Non;0;Non;0;Non;Non;Comme il faut
H;33;Celibataire;Exerce profession;Cadre;Non;5;0;Non;Non;Oui;0;Non;0;Non;Non;Comme il faut
H;34;Marie;Exerce profession;Profession intermediaire;Non;0;2;Oui;Non;Non;60;Non;0;Non;Non;Comme il faut
H;51;Marie;Exerce profession;Cadre;Non;1;3;Non;Non;Non;0;Non;60;Non;Non;Comme il faut
H;43;Celibataire;Exerce profession;Employe de bureau;Non;1;0;Non;Non;Non;180;Non;0;Non;Oui;Comme il faut
F;79;Veuf;Autre inactif;Non concerne;Non;0;3;Non;Non;Non;0;Non;60;Non;Non;Comme il faut
F;57;Divorce;Exerce profession;Employe de bureau;Non;1;2;Non;Oui;Non;0;Non;0;Non;Non;Comme il faut
F;37;Divorce;Exerce profession;Employe de bureau;Non;2;3;Non;Non;Oui;0;Non;0;Non;Non;Comme il faut
F;64;Marie;Retraite;Employe de bureau;Non;3;2;Non;Oui;Non;300;Non;0;Non;Non;Comme il faut
F;73;Veuf;Retraite;Employe de bureau;Non;1;3;Non;Oui;Non;240;Non;0;Non;Non;Pas assez
H;40;Divorce;Chomeur;Ouvrier specialise;Non;8;3;Non;Non;Oui;660;Non;0;Non;Non;Comme il faut
F;70;Divorce;Autre inactif;Ouvrier qualifie;Non;5;1;Non;Oui;Non;120;Non;0;Non;Non;Comme il faut
F;74;Veuf;Retraite;Ouvrier specialise;Non;2;1;Non;Non;Oui;240;Non;0;Non;Non;Comme il faut
H;65;Celibataire;Retraite;Ouvrier specialise;Non;2;0;Non;Non;Non;0;Non;0;Non;Non;Comme il faut
H;47;Celibataire;Exerce profession;Non concerne;Non;1;2;Non;Non;Non;0;Non;0;Non;Non;Comme il faut
F;39;Celibataire;Exerce profession;Employe de bureau;Non;13;2;Non;Non;Non;180;Non;2;Non;Non;Pas assez
F;45;Veuf;Exerce profession;Employe de bureau;Non;2;0;Non;Oui;Non;180;Non;0;Non;Non;Comme il faut
F;51;Marie;Autre inactif;Employe de bureau;Non;3;2;Non;Oui;Oui;0;Non;0;Non;Non;Pas assez
F;40;Marie;Exerce profession;Ouvrier qualifie;Non;3;2;Non;Oui;Oui;120;Non;0;Oui;Non;Comme il faut
F;78;Veuf;Autre inactif;Ouvrier specialise;Non;3;5;Non;Oui;Non;120;Non;0;Non;Non;Pas assez
F;86;Veuf;Autre inactif;Ouvrier qualifie;Non;3;5;Non;Non;Non;120;Non;0;Non;Non;Comme il faut
H;34;Celibataire;Exerce profession;Ouvrier specialise;Non;4;0;Non;Oui;Non;120;Non;0;Non;Non;Pas assez
H;75;Marie;Retraite;Non concerne;Non;2;3;Non;Non;Non;120;Non;0;Non;Non;Comme il faut
F;35;Divorce;Exerce profession;Ouvrier specialise;Non;3;2;Non;Non;Non;0;Non;0;Non;Oui;Comme il faut
F;41;Divorce;Retraite;Employe de bureau;Non;0;3;Non;Non;Oui;0;Non;0;Non;Non;Comme il faut
H;54;Marie;Exerce profession;Ouvrier qualifie;Non;5;3;Oui;Non;Non;0;Non;0;Non;Non;Comme il faut
F;44;Marie;Exerce profession;Employe de bureau;Non;1;2;Non;Oui;Non;0;Non;17,14;Non;Non;Pas assez
F;56;Celibataire;Exerce profession;Employe de bureau;Non;2;0;Non;Non;Oui;120;Non;0;Non;Non;Comme il faut
H;58;Marie;Exerce profession;Ouvrier specialise;Non;4;2;Non;Non;Non;240;Non;0;Non;Non;Comme il faut
F;22;Celibataire;Exerce profession;Technicien;formation initiale;2;0;Non;Non;Oui;180;Non;0;Non;Oui;Pas assez
F;57;Marie;Exerce profession;Ouvrier qualifie;Non;1;3;Oui;Oui;Non;120;Non;0;Non;Non;Comme il faut
H;48;Marie;Exerce profession;Ouvrier qualifie;Non;6;3;Non;Non;Non;180;Non;0;Non;Non;Pas assez
F;19;Celibataire;Autre inactif;Non concerne;Non;1;0;Non;Non;Oui;120;Non;0;Oui;Non;Comme il faut
F;47;Marie;Autre inactif;Employe de bureau;Non;0;3;Non;Non;Non;120;Non;0;Non;Non;Comme il faut
H;69;Marie;Retraite;Ouvrier qualifie;Non;0;3;Non;Non;Non;120;Non;0;Non;Non;Comme il faut
H;18;Celibataire;Exerce profession;Ouvrier specialise;Non;2;0;Non;Oui;Oui;240;Non;0;Non;Non;Comme il faut
H;54;Marie;Exerce profession;Ouvrier specialise;Non;4;2;Oui;Oui;Non;60;Non;0;Non;Non;Comme il faut
H;65;Divorce;Retraite;Ouvrier specialise;Non;6;3;Oui;Oui;Non;0;Non;0;Non;Non;Pas assez
H;35;Celibataire;Exerce profession;Cadre;Non;2;2;Non;Oui;Oui;0;Non;0;Non;Non;Comme il faut
F;33;Marie;Exerce profession;Ouvrier specialise;Non;3;2;Oui;Oui;Non;17,14;Non;0;Non;Oui;Comme il faut
F;47;Marie;Exerce profession;Employe de bureau;Non;9;3;Non;Oui;Non;240;Non;0;Oui;Non;Comme il faut
F;56;Marie;Autre inactif;Non concerne;Non;2;3;Non;Oui;Non;180;Non;0;Non;Non;Comme il faut
H;54;Marie;Exerce profession;Ouvrier specialise;Non;7;4;Non;Oui;Non;120;Non;0;Non;Non;Comme il faut
F;48;Divorce;Exerce profession;Profession intermediaire;Non;4;1;Oui;Oui;Oui;60;Non;0;Non;Oui;Comme il faut
F;27;Celibataire;Exerce profession;Ouvrier specialise;Non;3;0;Non;Oui;Oui;0;Non;0;Non;Non;Comme il faut
F;71;Marie;Retraite;Employe de bureau;Non;1;4;Non;Oui;Non;180;Non;0;Non;Non;Pas assez
F;48;Veuf;Exerce profession;Employe de bureau;Non;1;3;Oui;Oui;Oui;180;Non;0;Non;Oui;Pas assez
F;60;Veuf;Autre inactif;Employe de bureau;Non;4;6;Non;Oui;Non;34,29;Non;0;Non;Non;Trop
H;41;Marie;Exerce profession;Employe de bureau;Non;3;3;Oui;Oui;Oui;120;Non;0;Non;Non;Comme il faut
H;83;Veuf;Au foyer;Employe de bureau;Non;7;3;Oui;Non;Non;0;Non;0;Non;Non;Comme il faut
H;40;Celibataire;Exerce profession;Non concerne;Non;2;3;Non;Oui;Non;42,86;Non;0;Non;Non;Pas assez
H;72;Marie;Retraite;Technicien;Non;4;4;Oui;Non;Non;180;Non;0;Non;Non;Pas assez
H;63;Marie;Retraite;Ouvrier qualifie;Non;7;2;Non;Non;Oui;360;Non;0;Non;Non;Comme il faut
F;73;Veuf;Retraite;Ouvrier qualifie;Non;7;2;Oui;Oui;Non;180;Non;0;Non;Non;Pas assez
H;70;Marie;Au foyer;Autre;Reprise de formation;0;3;Oui;Non;Non;240;Non;0;Non;Non;Comme il faut
H;31;Marie;Exerce profession;Non concerne;Non;5;3;Non;Non;Oui;180;Non;0;Non;Non;Pas assez
H;78;Celibataire;Retraite;Cadre;Non;3;0;Non;Non;Oui;300;Non;120;Non;Non;Comme il faut
H;77;Marie;Retraite;Ouvrier qualifie;Non;0;4;Oui;Non;Non;120;Non;0;Non;Non;Comme il faut
H;45;Marie;Exerce profession;Autre;Non;2;1;Non;Non;Non;120;Non;0;Non;Non;Comme il faut
H;51;Celibataire;Chomeur;Ouvrier specialise;Non;1;0;Non;Non;Non;120;Non;0;Non;Non;Comme il faut
F;68;Veuf;Autre inactif;Ouvrier qualifie;Non;4;3;Oui;Oui;Non;180;Non;0;Non;Non;Pas assez
F;45;Marie;Chomeur;Employe de bureau;Non;6;4;Non;Non;Oui;180;Non;0;Non;Non;Comme il faut
F;38;Marie;Exerce profession;Autre;Non;1;3;Oui;Oui;Oui;0;Non;120;Non;Non;Comme il faut
F;36;Celibataire;Chomeur;Ouvrier specialise;Non;1;2;Non;Oui;Oui;240;Non;0;Non;Non;Pas assez
F;37;Marie;Autre inactif;Non concerne;Non;2;3;Non;Non;Non;120;Non;0;Non;Oui;Comme il faut
F;52;Divorce;Exerce profession;Employe de bureau;Non;5;2;Non;Oui;Non;180;Non;0;Non;Oui;Pas assez
H;74;Marie;Retraite;Ouvrier qualifie;Non;6;3;Non;Non;Oui;51,43;Non;0;Non;Non;Comme il faut
H;37;Marie;Exerce profession;Ouvrier qualifie;Non;4;2;Non;Oui;Non;120;Non;0;Non;Non;Pas assez
F;24;Marie;Chomeur;Ouvrier specialise;Non;3;0;Non;Oui;Oui;240;Non;0;Non;Oui;Comme il faut
H;48;Marie;Exerce profession;Ouvrier specialise;Non;9;0;Oui;Non;Oui;60;Non;0;Non;Non;Pas assez
H;56;Marie;Exerce profession;Ouvrier qualifie;Non;3;2;Oui;Non;Non;120;Non;0;Non;Non;Pas assez
F;63;Marie;Retraite;Ouvrier specialise;Non;6;2;Oui;Oui;Non;180;Non;0;Non;Non;Pas assez
